order,grade,textbook,lesson,category,word,part_of_speech,meaning_in_context,korean_meaning,context_chunk,context_sentence,korean_translation,related_collocation,related_word,relation_meaning,difficulty,quiz_question,quiz_answer,note,source_file
84,1,CSAT Word Relations,,다의어,mean,v./a.,"의미하다, 의도하다; 비열한, 천한; 평균, 중용","의미하다, 의도하다; 비열한, 천한; 평균, 중용",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
85,1,CSAT Word Relations,,다의어,capital,n./a.,"수도, 자본, 대문자; 주요한","수도, 자본, 대문자; 주요한",,,,,,,,,,cf. capital punishment 사형,word_relations_polysemy_antonyms_synonyms(1).csv
86,1,CSAT Word Relations,,다의어,charge,v./n.,"청구하다, 고소하다, 충전하다; 책임, 요금, 충전, 비난, 혐의, 고소","청구하다, 고소하다, 충전하다; 책임, 요금, 충전, 비난, 혐의, 고소",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
87,1,CSAT Word Relations,,다의어,account,n./v.,"계좌, 계정, 설명, 이야기, 이유; 설명하다","계좌, 계정, 설명, 이야기, 이유; 설명하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
88,1,CSAT Word Relations,,다의어,critical,a.,"비평의, 위기의, 결정적인","비평의, 위기의, 결정적인",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
89,1,CSAT Word Relations,,다의어,assume,v.,"추측하다, 떠맡다, ~인 체하다","추측하다, 떠맡다, ~인 체하다",,,,,,,,,,"cf. assumption 가정, 추측",word_relations_polysemy_antonyms_synonyms(1).csv
90,1,CSAT Word Relations,,다의어,pose,v./n.,"자세를 취하다, 문제를 제기하다; 자세, 자세를 취함","자세를 취하다, 문제를 제기하다; 자세, 자세를 취함",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
91,1,CSAT Word Relations,,다의어,interest,n./v.,"흥미, 이익, 이자; 흥미를 끌다","흥미, 이익, 이자; 흥미를 끌다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
92,1,CSAT Word Relations,,다의어,state,n./v.,"상태, 신분, 국가, 주; 진술하다","상태, 신분, 국가, 주; 진술하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
93,1,CSAT Word Relations,,다의어,drive,v./n.,"몰다, 운전하다, 억지로 ~하게 하다; 추진력, 충동, 자극 운동","몰다, 운전하다, 억지로 ~하게 하다; 추진력, 충동, 자극 운동",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
94,1,CSAT Word Relations,,다의어,matter,n./v.,"물질, 문제, 고통; 중요하다","물질, 문제, 고통; 중요하다",,,,,,,,,,"cf. as a matter of fact 사실, 실제로",word_relations_polysemy_antonyms_synonyms(1).csv
95,1,CSAT Word Relations,,다의어,object,n./v.,"물건, 대상, 목표; 반대하다","물건, 대상, 목표; 반대하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
96,1,CSAT Word Relations,,다의어,party,n.,"파티, 일행, 정당, 당사자, 상대편","파티, 일행, 정당, 당사자, 상대편",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
97,1,CSAT Word Relations,,다의어,figure,n./v.,"숫자, 그림, 형태, 인물; 계산하다, 이해하다","숫자, 그림, 형태, 인물; 계산하다, 이해하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
98,1,CSAT Word Relations,,다의어,issue,n./v.,"쟁점, 발행, 유출, 결과; ~에서 기인하다(from), 발행하다","쟁점, 발행, 유출, 결과; ~에서 기인하다(from), 발행하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
99,1,CSAT Word Relations,,다의어,odd,a.,"이상한, 홀수의, 임시의; 낱개 상품; even 짝수의","이상한, 홀수의, 임시의; 낱개 상품; even 짝수의",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
100,1,CSAT Word Relations,,다의어,reserve,v./n.,"예약하다, 보존하다, 유보하다; 비축, 예비군","예약하다, 보존하다, 유보하다; 비축, 예비군",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
101,1,CSAT Word Relations,,다의어,scale,n.,"비늘, 저울, 규모, 척도","비늘, 저울, 규모, 척도",,,,,,,,,,cf. on a large scale 대규모로,word_relations_polysemy_antonyms_synonyms(1).csv
102,1,CSAT Word Relations,,다의어,match,n./v.,"경기, 어울리는 사람/것, 호각수; 어울리다, 맞추다","경기, 어울리는 사람/것, 호각수; 어울리다, 맞추다",,,,,,,,,,cf. match A with B,word_relations_polysemy_antonyms_synonyms(1).csv
103,1,CSAT Word Relations,,다의어,board,n./v.,"판자, 게시판, 식탁, 식사, 위원회; 승선하다","판자, 게시판, 식탁, 식사, 위원회; 승선하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
104,1,CSAT Word Relations,,다의어,discharge,v./n.,"발사하다, 배출하다, 석방시키다; 배출물","발사하다, 배출하다, 석방시키다; 배출물",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
105,1,CSAT Word Relations,,다의어,subject,n./a.,"주제, 과목, 백성, 실험 대상; 영향을 받기 쉬운","주제, 과목, 백성, 실험 대상; 영향을 받기 쉬운",,,,,,,,,,cf. be subject to,word_relations_polysemy_antonyms_synonyms(1).csv
106,1,CSAT Word Relations,,다의어,address,v./n.,"연설하다, 말을 걸다, 주소를 쓰다; 문제를 다루다; 주소, 연설","연설하다, 말을 걸다, 주소를 쓰다; 문제를 다루다; 주소, 연설",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
107,1,CSAT Word Relations,,다의어,feature,n./v.,"특징, 용모, 특집 기사; ~을 특징으로 하다, 주연시키다","특징, 용모, 특집 기사; ~을 특징으로 하다, 주연시키다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
108,1,CSAT Word Relations,,다의어,company,n.,"동료, 교제, 회사, 군대 중대","동료, 교제, 회사, 군대 중대",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
109,1,CSAT Word Relations,,다의어,raise,v./n.,"올리다, 양육하다, 모으다, 문제를 제기하다; 급여 인상","올리다, 양육하다, 모으다, 문제를 제기하다; 급여 인상",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
110,1,CSAT Word Relations,,다의어,present,n./v.,"현재, 참석한, 선물; 증정하다, 제출하다","현재, 참석한, 선물; 증정하다, 제출하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
111,1,CSAT Word Relations,,다의어,rate,n./v.,"비율, 등급, 요금, 속도; 평가하다","비율, 등급, 요금, 속도; 평가하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
112,1,CSAT Word Relations,,다의어,case,n.,"경우, 사례, 소송 사건, 사실, 상자","경우, 사례, 소송 사건, 사실, 상자",,,,,,,,,,cf. in case that ~하는 경우에,word_relations_polysemy_antonyms_synonyms(1).csv
113,1,CSAT Word Relations,,다의어,effect,n./v.,"효과, 영향, 결과, 취지; 초래하다","효과, 영향, 결과, 취지; 초래하다",,,,,,,,,,cf. affect 영향을 미치다,word_relations_polysemy_antonyms_synonyms(1).csv
114,1,CSAT Word Relations,,다의어,plain,a./n.,"명백한, 쉬운, 솔직한, 무늬가 없는, 평범한; 평원","명백한, 쉬운, 솔직한, 무늬가 없는, 평범한; 평원",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
115,1,CSAT Word Relations,,다의어,order,n./v.,"순서, 정도, 질서, 명령, 주문; 명령하다, 주문하다","순서, 정도, 질서, 명령, 주문; 명령하다, 주문하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
116,1,CSAT Word Relations,,다의어,fair,a./n.,"공정한, 맑은, 상당히, 희고 금발에 예쁜, 박람회","공정한, 맑은, 상당히, 희고 금발에 예쁜, 박람회",,,,,,,,,,cf. fair weather 좋은 날씨,word_relations_polysemy_antonyms_synonyms(1).csv
117,1,CSAT Word Relations,,다의어,leave,v./n.,"떠나다, 남기다, ~을 ~한 상태로 두다; 휴가","떠나다, 남기다, ~을 ~한 상태로 두다; 휴가",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
118,1,CSAT Word Relations,,다의어,note,n./v.,"기록, 주의, 짧은 편지, 음표; 주목하다, 기록하다","기록, 주의, 짧은 편지, 음표; 주목하다, 기록하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
119,1,CSAT Word Relations,,다의어,sound,n./a./v.,"소리; 건전한, 깊은; 소리가 나다","소리; 건전한, 깊은; 소리가 나다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
120,1,CSAT Word Relations,,다의어,term,n.,"기간, 학기, 용어, 조건, 관계","기간, 학기, 용어, 조건, 관계",,,,,,,,,,cf. be on good terms with ~와 사이가 좋다,word_relations_polysemy_antonyms_synonyms(1).csv
121,1,CSAT Word Relations,,다의어,yield,v./n.,"양보하다, 굴복하다, 산출하다; 산출","양보하다, 굴복하다, 산출하다; 산출",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
122,1,Word Relations,,반의어,absolute,,,절대적인,,,,,relative,상대적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
123,1,Word Relations,,반의어,ancestor,,,"조상, 선조",,,,,descendant,자손,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
124,1,Word Relations,,반의어,deficient,,,부족한,,,,,sufficient,충분한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
125,1,Word Relations,,반의어,concrete,,,구체적인,,,,,abstract,추상적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
126,1,Word Relations,,반의어,beneficial,,,유익한,,,,,harmful,해로운,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
127,1,Word Relations,,반의어,construction,,,건설,,,,,destruction,파괴,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
128,1,Word Relations,,반의어,majority,,,"다수, 성인",,,,,minority,"소수, 미성년자",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
129,1,Word Relations,,반의어,quality,,,질,,,,,quantity,양,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
130,1,Word Relations,,반의어,emigrate,,,이민가다,,,,,immigrate,이민오다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
131,1,Word Relations,,반의어,objective,,,"객관적인, 목표",,,,,subjective,주관적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
132,1,Word Relations,,반의어,rural,,,시골의,,,,,urban,도시의,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
133,1,Word Relations,,반의어,predecessor,,,"전임자, 선배",,,,,successor,"후계자, 상속자",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
134,1,Word Relations,,반의어,emerge,,,나타나다,,,,,vanish,사라지다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
135,1,Word Relations,,반의어,general,,,일반적인,,,,,specific,구체적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
136,1,Word Relations,,반의어,invaluable,,,귀중한,,,,,worthless,가치 없는,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
137,1,Word Relations,,반의어,artery,,,동맥,,,,,vein,정맥,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
138,1,Word Relations,,반의어,negative,,,"부정적인, 음화",,,,,positive,"긍정적인, 양화",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
139,1,Word Relations,,반의어,excessive,,,과도한,,,,,moderate,"온건한, 적정한",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
140,1,Word Relations,,반의어,compulsory,,,"강제적인, 필수의",,,,,voluntary,자발적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
141,1,Word Relations,,반의어,extravagant,,,사치스러운,,,,,frugal,검소한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
142,1,Word Relations,,반의어,acquired,,,후천적인,,,,,natural,선천적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
143,1,Word Relations,,반의어,analysis,,,분석,,,,,synthesis,종합,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
144,1,Word Relations,,반의어,conceal,,,숨기다,,,,,reveal,드러내다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
145,1,Word Relations,,반의어,conquer,,,"정복하다, 극복하다",,,,,surrender,항복하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
146,1,Word Relations,,반의어,conservative,,,보수적인,,,,,progressive,진보적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
147,1,Word Relations,,반의어,dynamic,,,동적인,,,,,static,정적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
148,1,Word Relations,,반의어,mental,,,정신적인,,,,,physical,육체적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
149,1,Word Relations,,반의어,noble,,,고상한,,,,,ignoble,비천한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
150,1,Word Relations,,반의어,overestimate,,,과대 평가하다,,,,,underestimate,과소 평가하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
151,1,Word Relations,,반의어,passive,,,수동적인,,,,,active,능동적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
152,1,Word Relations,,반의어,former,,,전자의,,,,,latter,후자의,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
153,1,Word Relations,,반의어,fresh,,,신선한,,,,,stale,"신선하지 않은, 진부한",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
154,1,Word Relations,,반의어,inflate,,,팽창하게 올리다,,,,,deflate,"공기를 수축시키다, 내리다",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
155,1,Word Relations,,반의어,attach,,,부착하다,,,,,detach,떼어내다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
156,1,Word Relations,,반의어,guilty,,,유죄의,,,,,innocent,"무죄의, 천진난만한",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
157,1,Word Relations,,반의어,virtue,,,미덕,,,,,vice,악덕,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
158,1,Word Relations,,반의어,deliberately,,,고의로,,,,,accidentally,우연히,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
159,1,Word Relations,,반의어,barren,,,불모의,,,,,fertile,비옥한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
160,1,Word Relations,,반의어,radical,,,"급진적인, 기본적인",,,,,gradual,점진적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
161,1,Word Relations,,반의어,latitude,,,위도,,,,,longitude,경도,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
162,1,Word Relations,,유의어,trigger,,,"유발하다, 야기하다",,,,,cause,원인이 되다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
163,1,Word Relations,,유의어,boast,,,자랑하다,,,,,brag,자랑하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
164,1,Word Relations,,유의어,ease,,,"진정시키다, 완화시키다",,,,,soothe,진정시키다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
165,1,Word Relations,,유의어,lessen,,,"줄이다, 감소시키다",,,,,diminish,"줄이다, 감소시키다",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
166,1,Word Relations,,유의어,discern,,,"구별하다, 분간하다",,,,,discriminate,구별하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
167,1,Word Relations,,유의어,stare,,,응시하다,,,,,peer,응시하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
168,1,Word Relations,,유의어,struggle,,,"분투하다, 노력하다",,,,,strive,노력하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
169,1,Word Relations,,유의어,thrive,,,"번영하다, 번창하다",,,,,flourish,번영하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
170,1,Word Relations,,유의어,perform,,,"이행하다, 수행하다",,,,,implement,"이행하다, 실행하다",,,,,word_relations_polysemy_antonyms_synonyms(1).csv
171,1,Word Relations,,유의어,mandatory,,,"명령의, 강제적인",,,,,obligatory,의무적인,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
172,1,Word Relations,,유의어,resolve,,,"결심하다, 결정하다",,,,,determine,결심하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
173,1,Word Relations,,유의어,ban,,,금지하다,,,,,prohibit,금지하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
174,1,Word Relations,,유의어,opposition,,,반대,,,,,objection,반대,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
175,1,Word Relations,,유의어,tremendous,,,"거대한, 엄청난",,,,,enormous,거대한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
176,1,Word Relations,,유의어,startle,,,놀라게 하다,,,,,astonish,놀라게 하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
177,1,Word Relations,,유의어,consent,,,"동의하다, 찬성하다",,,,,approve,찬성하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
178,1,Word Relations,,유의어,apparent,,,명백한,,,,,obvious,명백한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
179,1,Word Relations,,유의어,abundant,,,풍부한,,,,,affluent,풍부한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
180,1,Word Relations,,유의어,emphasize,,,강조하다,,,,,stress,강조하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
181,1,Word Relations,,유의어,insufficient,,,불충분한,,,,,scanty,부족한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
182,1,Word Relations,,유의어,annoy,,,화나게 하다,,,,,irritate,화나게 하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
183,1,Word Relations,,유의어,trait,,,"특성, 특징",,,,,feature,특징,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
184,1,Word Relations,,유의어,thrifty,,,"절약하는, 근검한",,,,,frugal,검소한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
185,1,Word Relations,,유의어,accountable,,,책임이 있는,,,,,responsible,책임이 있는,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
186,1,Word Relations,,유의어,conventional,,,"전통의, 세습적인",,,,,traditional,전통의,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
187,1,Word Relations,,유의어,modest,,,겸손한,,,,,humble,겸손한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
188,1,Word Relations,,유의어,inhabit,,,거주하다,,,,,dwell,거주하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
189,1,Word Relations,,유의어,devote,,,"헌신하다, 전념하다",,,,,dedicate,헌신하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
190,1,Word Relations,,유의어,obscure,,,"모호한, 분명치 않은",,,,,vague,모호한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
191,1,Word Relations,,유의어,modify,,,변경하다,,,,,alter,변경하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
192,1,Word Relations,,유의어,hospitable,,,"환대하는, 친근한",,,,,friendly,친근한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
193,1,Word Relations,,유의어,convince,,,확신시키다,,,,,assure,보증하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
194,1,Word Relations,,유의어,proper,,,적절한,,,,,appropriate,적절한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
195,1,Word Relations,,유의어,contentment,,,만족,,,,,satisfaction,만족,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
196,1,Word Relations,,유의어,incorporate,,,통합하다,,,,,integrate,통합하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
197,1,Word Relations,,유의어,accurate,,,정확한,,,,,precise,정확한,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
198,1,Word Relations,,유의어,facilitate,,,촉진하다,,,,,promote,촉진하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
199,1,Word Relations,,유의어,contagious,,,전염성의,,,,,infectious,전염성의,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
200,1,Word Relations,,유의어,evaluate,,,평가하다,,,,,assess,평가하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
201,1,Word Relations,,유의어,eliminate,,,제거하다,,,,,remove,제거하다,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
